category,year_month,n,k,prev,feature
terrorgram,2020-11-01,1,0,0,Outgroup Othering
terrorgram,2020-12-01,1,0,0,Outgroup Othering
terrorgram,2021-03-01,62,47,0.7580645161290323,Outgroup Othering
terrorgram,2021-04-01,5,2,0.4,Outgroup Othering
terrorgram,2021-05-01,2,2,1,Outgroup Othering
terrorgram,2021-06-01,1,1,1,Outgroup Othering
terrorgram,2021-07-01,15,11,0.7333333333333333,Outgroup Othering
terrorgram,2021-08-01,1,1,1,Outgroup Othering
terrorgram,2021-09-01,4,1,0.25,Outgroup Othering
terrorgram,2021-10-01,6,1,0.16666666666666666,Outgroup Othering
terrorgram,2021-11-01,1,1,1,Outgroup Othering
terrorgram,2021-12-01,15,7,0.4666666666666667,Outgroup Othering
terrorgram,2022-01-01,784,100,0.12755102040816327,Outgroup Othering
terrorgram,2022-02-01,2060,289,0.14029126213592233,Outgroup Othering
terrorgram,2022-03-01,329,76,0.23100303951367782,Outgroup Othering
terrorgram,2022-04-01,764,121,0.15837696335078533,Outgroup Othering
terrorgram,2022-05-01,545,105,0.1926605504587156,Outgroup Othering
terrorgram,2022-06-01,492,82,0.16666666666666666,Outgroup Othering
terrorgram,2022-07-01,652,110,0.1687116564417178,Outgroup Othering
terrorgram,2022-08-01,1059,173,0.16336166194523136,Outgroup Othering
terrorgram,2022-09-01,9522,1639,0.17212770426381013,Outgroup Othering
terrorgram,2022-10-01,6421,1197,0.18641956081607225,Outgroup Othering
terrorgram,2022-11-01,7819,1669,0.21345440593426268,Outgroup Othering
terrorgram,2022-12-01,14321,2518,0.17582571049507717,Outgroup Othering
terrorgram,2023-01-01,13184,2405,0.18241808252427186,Outgroup Othering
terrorgram,2023-02-01,8786,909,0.10346005007967221,Outgroup Othering
terrorgram,2023-03-01,12687,838,0.06605186411287145,Outgroup Othering
terrorgram,2023-04-01,5956,639,0.10728676964405641,Outgroup Othering
terrorgram,2023-05-01,718,167,0.23259052924791088,Outgroup Othering
terrorgram,2023-06-01,704,223,0.31676136363636365,Outgroup Othering
terrorgram,2023-07-01,1004,238,0.23705179282868527,Outgroup Othering
terrorgram,2023-08-01,725,172,0.23724137931034484,Outgroup Othering
terrorgram,2023-09-01,891,198,0.2222222222222222,Outgroup Othering
terrorgram,2023-10-01,1459,616,0.42220699108978754,Outgroup Othering
terrorgram,2023-11-01,621,246,0.3961352657004831,Outgroup Othering
terrorgram,2023-12-01,1484,325,0.21900269541778974,Outgroup Othering
terrorgram,2024-01-01,4454,1431,0.32128423888639424,Outgroup Othering
terrorgram,2024-02-01,4054,1264,0.3117908238776517,Outgroup Othering
terrorgram,2024-03-01,2726,932,0.3418928833455613,Outgroup Othering
terrorgram,2024-04-01,3135,1070,0.3413078149920255,Outgroup Othering
terrorgram,2024-05-01,4222,1276,0.30222643297015633,Outgroup Othering
terrorgram,2024-06-01,132,2,0.015151515151515152,Outgroup Othering
terrorgram,2024-07-01,1351,149,0.11028867505551443,Outgroup Othering
white-supremacist,2021-03-01,1549,557,0.35958683021304066,Outgroup Othering
white-supremacist,2021-04-01,1944,673,0.3461934156378601,Outgroup Othering
white-supremacist,2021-05-01,3831,1237,0.3228921952492822,Outgroup Othering
white-supremacist,2021-06-01,2461,765,0.3108492482730597,Outgroup Othering
white-supremacist,2021-07-01,1498,481,0.3210947930574099,Outgroup Othering
white-supremacist,2021-08-01,1599,543,0.3395872420262664,Outgroup Othering
white-supremacist,2021-09-01,1770,510,0.288135593220339,Outgroup Othering
white-supremacist,2021-10-01,1638,586,0.35775335775335776,Outgroup Othering
white-supremacist,2021-11-01,2454,774,0.3154034229828851,Outgroup Othering
white-supremacist,2021-12-01,2223,639,0.2874493927125506,Outgroup Othering
white-supremacist,2022-01-01,2049,642,0.31332357247437775,Outgroup Othering
white-supremacist,2022-02-01,1648,550,0.3337378640776699,Outgroup Othering
white-supremacist,2022-03-01,1936,639,0.3300619834710744,Outgroup Othering
white-supremacist,2022-04-01,1502,446,0.2969374167776298,Outgroup Othering
white-supremacist,2022-05-01,2713,576,0.2123110947290822,Outgroup Othering
white-supremacist,2022-06-01,9351,1861,0.1990161480055609,Outgroup Othering
white-supremacist,2022-07-01,5917,1095,0.18505999661990874,Outgroup Othering
